Time ,CWND1,CWND3
4.02595,405752,405752
4.02732,406288,406288
4.0289,406824,406824
4.03027,407360,407360
4.03165,407896,407896
4.03322,408432,408432
4.0346,408968,408968
4.03597,409504,409504
4.03755,410040,410040
4.03892,410576,410576
4.0403,411112,411112
4.04187,411648,411648
4.04325,412184,412184
4.04462,412720,412720
4.0462,413256,413256
4.04757,413792,413792
4.04895,414328,414328
4.05052,414864,414864
4.0519,415400,415400
4.05327,415936,415936
4.05485,416472,416472
4.05622,417008,417008
4.0576,417544,417544
4.08663,418080,418080
4.08888,418616,418616
4.09025,419152,419152
4.09188,419688,419688
4.09413,420224,420224
4.09551,420760,420760
4.09708,421296,421296
4.0988,421832,421832
4.10018,422368,422368
4.10175,422904,422904
4.10313,423440,423440
4.10451,423976,423976
4.10608,424512,424512
4.10745,425048,425048
4.10883,425584,425584
4.1104,426120,426120
4.11178,426656,426656
4.11316,427192,427192
4.11473,427728,427728
4.11611,428264,428264
4.11748,428800,428800
4.11905,429336,429336
4.12043,429872,429872
4.12181,430408,430408
4.12338,430944,430944
4.12476,431480,431480
4.12613,432016,432016
4.12771,432552,432552
4.12908,433088,433088
4.13046,433624,433624
4.13203,434160,434160
4.13341,434696,434696
4.13478,435232,435232
4.13636,435768,435768
4.13773,436304,436304
4.13911,436840,436840
4.14068,437376,437376
4.14206,437912,437912
4.14343,438448,438448
4.14501,438984,438984
4.14638,439520,439520
4.14776,440056,440056
4.14933,440592,440592
4.15071,441128,441128
4.15208,441664,441664
4.15366,442200,442200
4.15503,442736,442736
4.15641,443272,443272
4.15798,443808,443808
4.15936,444344,444344
4.16073,444880,444880
4.16231,445416,445416
4.16368,445952,445952
4.16506,446488,446488
4.16663,447024,447024
4.16801,447560,447560
4.16939,448096,448096
4.17096,448632,448632
4.17233,449168,449168
4.17371,449704,449704
4.17528,450240,450240
4.17666,450776,450776
4.17804,451312,451312
4.17961,451848,451848
4.18099,452384,452384
4.18236,452920,452920
4.18393,453456,453456
4.18531,453992,453992
4.18669,454528,454528
4.18826,455064,455064
4.18964,455600,455600
4.19101,456136,456136
4.19259,456672,456672
4.19396,457208,457208
4.19534,457744,457744
4.19691,458280,458280
4.19829,458816,458816
4.19966,459352,459352
4.20124,459888,459888
4.20261,460424,460424
4.20399,460960,460960
4.20556,461496,461496
4.20694,462032,462032
4.20831,462568,462568
4.20989,463104,463104
4.21126,463640,463640
4.21264,464176,464176
4.21421,464712,464712
4.21559,465248,465248
4.21696,465784,465784
4.21854,466320,466320
4.21993,466856,466856
4.2213,467392,467392
4.22287,467928,467928
4.22425,468464,468464
4.22563,469000,469000
4.2272,469536,469536
4.22858,470072,470072
4.22995,470608,470608
4.23153,471144,471144
4.2329,471680,471680
4.23428,472216,472216
4.23585,472752,472752
4.23723,473288,473288
4.2386,473824,473824
4.24018,474360,474360
4.24155,474896,474896
4.24293,475432,475432
4.2445,475968,475968
4.24588,476504,476504
4.24725,477040,477040
4.24883,477576,477576
4.2502,478112,478112
4.25158,478648,478648
4.25315,479184,479184
4.25453,479720,479720
4.2559,480256,480256
4.25748,480792,480792
4.25885,481328,481328
4.26023,481864,481864
4.2618,482400,482400
4.26318,482936,482936
4.26455,483472,483472
4.26613,484008,484008
4.2675,484544,484544
4.26888,485080,485080
4.27045,485616,485616
4.27183,486152,486152
4.27321,486688,486688
4.27478,487224,487224
4.27615,487760,487760
4.27753,488296,488296
4.2791,488832,488832
4.30788,489368,489368
4.30925,489904,489904
4.31088,490440,490440
4.31313,490976,490976
4.31451,491512,491512
